pergunta,resposta,especialidade,categoria,fonte
Quando está indicado o uso de antibióticos em infecções de vias aéreas superiores?,"A maioria das infecções de vias aéreas superiores é causada por vírus e não necessita de antibióticos. Antibióticos estão indicados em: faringoamigdalite bacteriana (com teste rápido ou cultura positiva para Streptococcus), sinusite bacteriana aguda (sintomas > 10 dias ou piora após melhora inicial), otite média aguda com sintomas moderados/graves ou em menores de 2 anos.",Infectologia / Atenção Primária,Uso racional de medicamentos,TelessaúdeRS-UFRGS
Quais são os critérios de encaminhamento para endoscopia digestiva alta?,"Encaminhamento prioritário: disfagia progressiva, perda de peso inexplicada, anemia ferropriva sem causa identificada, vômitos persistentes, massa abdominal palpável. Encaminhamento eletivo: dispepsia > 55 anos, refluxo gastroesofágico refratário ao tratamento clínico, úlcera péptica para controle de cicatrização. Não encaminhar: dispepsia funcional em jovens sem sinais de alarme.",Gastroenterologia,Critérios de encaminhamento,TelessaúdeRS-UFRGS
Como manejar a dor lombar aguda na atenção primária?,"Na ausência de sinais de alerta (bandeiras vermelhas), a dor lombar aguda é autolimitada na maioria dos casos. Manejo: analgesia adequada (paracetamol, AINEs), manutenção das atividades habituais, orientação sobre prognóstico favorável. Evitar repouso absoluto e exames de imagem nas primeiras 4-6 semanas. Sinais de alerta: déficit neurológico, febre, perda de peso, história de câncer, trauma significativo.",Ortopedia / Atenção Primária,Manejo clínico,TelessaúdeRS-UFRGS
Qual o manejo inicial do paciente com diabetes tipo 2 recém-diagnosticado?,"1) Confirmar diagnóstico (glicemia jejum ≥126 ou HbA1c ≥6,5%). 2) Avaliar complicações: fundo de olho, função renal, exame dos pés. 3) Iniciar mudanças de estilo de vida. 4) Metformina como primeira linha (se sem contraindicações). 5) Meta de HbA1c individualizada (geralmente <7%). 6) Controle de fatores de risco cardiovascular associados.",Endocrinologia / Atenção Primária,Manejo clínico,TelessaúdeRS-UFRGS
Quando encaminhar paciente com cefaleia para especialista?,"Encaminhamento urgente: cefaleia súbita intensa (pior da vida), sinais neurológicos focais, papiledema, febre com rigidez de nuca, alteração do nível de consciência. Encaminhamento eletivo: cefaleia crônica diária refratária, mudança de padrão em paciente com cefaleia prévia, uso excessivo de analgésicos (>15 dias/mês), impacto significativo na qualidade de vida.",Neurologia,Critérios de encaminhamento,TelessaúdeRS-UFRGS
Como orientar pacientes sobre prevenção do pé diabético?,"Orientações essenciais: 1) Examinar os pés diariamente, usando espelho se necessário. 2) Lavar com água morna e secar bem, especialmente entre os dedos. 3) Hidratar pele seca, exceto entre os dedos. 4) Cortar unhas retas, sem cantos arredondados. 5) Usar calçados fechados e confortáveis, sempre com meias. 6) Não andar descalço. 7) Procurar atendimento imediato se feridas, bolhas ou alterações de cor.",Endocrinologia / Atenção Primária,Educação em saúde,TelessaúdeRS-UFRGS
Quais exames solicitar na investigação inicial de anemia?,"Avaliação inicial: hemograma completo, reticulócitos, ferro sérico, ferritina, capacidade de ligação do ferro (TIBC), creatinina. Complementar conforme suspeita: B12 e folato (macrocitose), eletroforese de hemoglobina (anemia hemolítica), função tireoidiana, pesquisa de sangue oculto nas fezes. A ferritina é o marcador mais específico para deficiência de ferro (baixa <30 ng/mL).",Hematologia / Atenção Primária,Investigação diagnóstica,TelessaúdeRS-UFRGS
Quando indicar rastreamento de câncer colorretal?,"População geral (risco médio): iniciar aos 50 anos com colonoscopia a cada 10 anos ou pesquisa de sangue oculto nas fezes anual. Risco aumentado: iniciar mais cedo e/ou intervalos menores se: parente de 1º grau com CCR < 60 anos (iniciar 10 anos antes do caso índice), síndromes hereditárias (conforme protocolo específico), doença inflamatória intestinal (após 8 anos de doença).",Gastroenterologia / Oncologia,Rastreamento e prevenção,TelessaúdeRS-UFRGS
Como manejar hipertensão arterial resistente?,"Definição: PA não controlada com 3 anti-hipertensivos (incluindo diurético) em doses otimizadas. Passos: 1) Confirmar adesão ao tratamento. 2) Descartar hipertensão do jaleco branco (MAPA/MRPA). 3) Avaliar causas secundárias: apneia do sono, hiperaldosteronismo, doença renal, estenose de artéria renal. 4) Otimizar esquema terapêutico. 5) Adicionar espironolactona como 4ª droga.",Cardiologia / Atenção Primária,Manejo clínico,TelessaúdeRS-UFRGS
Quais critérios utilizar para diagnóstico de depressão na atenção primária?,"Critérios diagnósticos (DSM-5): pelo menos 5 sintomas por ≥2 semanas, sendo obrigatório humor deprimido OU anedonia. Outros sintomas: alteração de peso/apetite, insônia/hipersonia, agitação/retardo psicomotor, fadiga, sentimento de inutilidade/culpa excessiva, dificuldade de concentração, pensamentos de morte. Instrumentos de rastreio: PHQ-9 (≥10 sugere depressão). Excluir causas médicas e uso de substâncias.",Psiquiatria / Atenção Primária,Diagnóstico,TelessaúdeRS-UFRGS
Quando está indicada a profilaxia pós-exposição (PEP) para HIV?,"Indicações: exposição de risco há <72h a material biológico de pessoa com HIV ou status desconhecido. Exposições de risco: relação sexual desprotegida, compartilhamento de seringas, acidente ocupacional com perfurocortante. Não indicada em: exposição de baixo risco, fonte sabidamente HIV negativa, exposição >72h. Regime: TDF+3TC+DTG por 28 dias. Realizar sorologias no início e acompanhamento.",Infectologia,Profilaxia,TelessaúdeRS-UFRGS
Como abordar a cessação do tabagismo na atenção primária?,"Estratégia dos 5 As: 1) Ask - perguntar sobre tabagismo. 2) Advise - aconselhar a parar. 3) Assess - avaliar prontidão para cessação. 4) Assist - oferecer tratamento. 5) Arrange - agendar acompanhamento. Tratamento farmacológico: TRN (adesivo/goma), bupropiona ou vareniclina. Terapia cognitivo-comportamental aumenta taxas de sucesso. Linha telefônica: 136 opção 9.",Pneumologia / Atenção Primária,Promoção de saúde,TelessaúdeRS-UFRGS
Quais são os sinais de alerta na avaliação de dispneia aguda?,"Sinais de gravidade que requerem avaliação imediata: frequência respiratória >30/min, uso de musculatura acessória, SpO2 <90%, cianose, alteração do nível de consciência, instabilidade hemodinâmica, dor torácica associada. Causas a considerar: asma/DPOC exacerbados, pneumonia, TEP, pneumotórax, edema pulmonar, anafilaxia, obstrução de vias aéreas.",Pneumologia / Emergência,Avaliação de urgência,TelessaúdeRS-UFRGS
Como realizar o manejo não farmacológico da insônia?,"Higiene do sono: horários regulares para dormir e acordar, evitar cochilos diurnos, limitar cafeína/álcool (especialmente à noite), exercícios regulares (não próximo ao horário de dormir), ambiente escuro/silencioso/temperatura agradável. Terapia de restrição do sono: limitar tempo na cama ao tempo real de sono. Controle de estímulos: usar cama apenas para dormir, sair da cama se não conseguir dormir em 20 min.",Psiquiatria / Atenção Primária,Manejo não farmacológico,TelessaúdeRS-UFRGS
Quando encaminhar criança com infecção de repetição para investigação imunológica?,"Sinais de alerta para imunodeficiência primária: ≥8 otites/ano, ≥2 pneumonias/ano, ≥2 sinusites graves/ano, necessidade frequente de ATB IV, infecções por germes oportunistas, abscessos de repetição, história familiar de imunodeficiência, falha no ganho pondo-estatural. Exames iniciais: hemograma, imunoglobulinas (IgG, IgA, IgM), sorologia vacinal.",Pediatria / Imunologia,Critérios de encaminhamento,TelessaúdeRS-UFRGS
